beta1,track_x,track_y
-0.12857713477928592,-21.31761169567423,-22.685870171873447
-0.12857713477928592,-20.868830660391524,-19.214761475452292
-0.12857713477928592,-20.420049625108817,-15.743652779031137
-0.12857713477928592,-19.97126858982611,-12.272544082609983
-0.12857713477928592,-19.522487554543403,-8.801435386188828
-0.12857713477928592,-19.073706519260696,-5.3303266897676735
-0.12857713477928592,-18.62492548397799,-1.859217993346519
-0.12857713477928592,-18.176144448695283,1.6118907030746357
-0.12857713477928592,-17.727363413412576,5.08299939949579
-0.12857713477928592,-17.27858237812987,8.554108095916945
-0.12857713477928592,-16.829801342847162,12.0252167923381
-0.12857713477928592,-16.381020307564455,15.496325488759256
-0.1285771347780891,-22.21517376617132,-29.628087564739175
