exp,episode,MA10
0,0,-116.85472312703585
0,1,-130.01307584923256
0,2,-127.42723575134023
0,3,-144.1897930106879
0,4,-155.0022578613185
0,5,-141.66854821776542
0,6,-140.59056591019575
0,7,-144.78726697827489
0,8,-144.70152768989996
0,9,-146.86749659391384
0,10,-149.79767645512334
0,11,-156.17322720067384
0,12,-161.39060450730915
0,13,-155.63370976345146
0,14,-154.3463131631177
0,15,-166.12876930346854
0,16,-173.42193935934793
0,17,-178.77456649985197
0,18,-184.47633849489512
0,19,-189.4186509855921
